orf_id	name	start	end	strand	length
NP_009332.1	PAU8		1807	2169	R	363
NP_878038.1	YAL067W-A		2480	2707	D	228
NP_009333.1	SEO1		7235	9016	R	1782
NP_009335.1	YAL065C		11565	11951	R	387
NP_009336.1	YAL064W-B		12046	12426	D	381
NP_058136.1	TDA8		13363	13743	R	381
NP_009337.2	YAL064W		21566	21850	D	285
NP_878039.1	YAL063C-A		22395	22685	R	291
NP_009338.1	FLO9		24000	27968	R	3969
NP_009339.1	GDH3		31567	32940	D	1374
NP_009340.1	BDH2		33448	34701	D	1254
NP_009341.2	BDH1		35155	36303	D	1149
NP_009342.2	ECM1		36509	37147	D	639
NP_009343.1	CNE1		37464	38972	D	1509
NP_009345.3	GPB2		39259	41901	D	2643
NP_009346.1	PEX22		42177	42719	D	543
NP_009347.1	ACS1		42881	45022	R	2142
NP_009348.2	FLC2		45899	48250	D	2352
NP_009349.3	OAF1		48564	51707	D	3144
NP_009350.1	AIM2		51855	52595	R	741
NP_009351.1	GEM1		52801	54789	R	1989
NP_009352.2	SPC72		54989	56857	R	1869
NP_009353.1	AIM1		57029	57385	R	357
NP_075206.1	YAL044W-A		57518	57850	D	333
NP_009355.3	GCV3		57950	58462	R	513
NP_009356.1	PTA1		58695	61052	R	2358
NP_009358.1	ERV46		61316	62563	D	1248
NP_009359.1	CDC24		62840	65404	D	2565
NP_009360.1	CLN3		65778	67520	R	1743
NP_009361.1	CYC3		68716	69525	R	810
NP_009362.1	CDC19		71786	73288	D	1503
NP_878040.1	YAL037C-A		73426	73518	R	93
NP_009363.1	YAL037W		74020	74823	D	804
NP_009364.1	RBG1		75043	76152	R	1110
NP_009365.1	FUN12		76427	79435	D	3009
NP_009367.1	MTW1		79718	80587	D	870
NP_009368.2	FUN19		80710	81951	R	1242
NP_009369.1	POP5		82706	83227	D	522
NP_009370.1	PRP45		83335	84474	R	1140
NP_009371.1	GIP4		84749	87031	R	2283
NP_009372.1	SNC1		87286	87752	D	467
NP_009373.1	MYO4		87855	92270	R	4416
NP_009374.1	FRT2		92900	94486	D	1587
NP_009375.1	SAW1		94687	95472	D	786
NP_009376.2	DRS2		95630	99697	R	4068
NP_009377.2	MAK16		100225	101145	R	921
NP_009378.1	LTE1		101565	105872	R	4308
NP_009379.2	PMT2		106272	108551	R	2280
NP_009380.1	FUN26		108877	110430	R	1554
NP_009381.1	CCR4		110846	113359	R	2514
NP_009382.2	ATS1		113614	114615	R	1002
NP_009383.1	FUN30		114919	118314	D	3396
NP_009384.1	YAL018C		118564	119541	R	978
NP_009385.2	PSK1		120225	124295	D	4071
NP_009386.1	TPD3		124879	126786	D	1908
NP_009387.1	NTG1		126903	128102	R	1200
NP_009388.2	SYN8		128252	129019	R	768
