chrom	frame	from	to	length
rand1	+2	742247	742720	474
rand1	-3	368726	369199	474
rand1	+2	388238	388708	471
rand1	-1	272254	272715	462
rand1	-1	743554	743994	441
rand1	+3	592590	593030	441
rand1	-3	552758	553183	426
rand1	+3	393651	394076	426
rand1	-3	56513	56938	426
rand1	+3	427206	427628	423
rand1	+2	576143	576562	420
rand1	-1	638929	639345	417
rand1	+1	138361	138771	411
rand1	+1	123625	124032	408
rand1	-2	321807	322208	402
rand1	-1	622174	622563	390
rand1	+3	252573	252962	390
rand1	-1	477571	477957	387
rand1	+2	335966	336352	387
rand1	+3	625905	626285	381
rand1	+1	436261	436641	381
rand1	-3	230978	231355	378
rand1	-1	401995	402363	369
rand1	-3	704756	705121	366
rand1	-1	617695	618057	363
rand1	-2	9186	9548	363
rand1	+3	250065	250424	360
rand1	-3	241640	241999	360
rand1	+3	114579	114938	360
rand1	+3	251901	252257	357
rand1	-2	648720	649073	354
rand1	-1	562126	562479	354
rand1	+1	147724	148077	354
rand1	+3	744240	744590	351
rand1	+1	518386	518736	351
rand1	+3	455775	456125	351
rand1	-1	184267	184617	351
rand1	+2	311555	311902	348
rand1	+3	482382	482726	345
rand1	-1	424996	425340	345
rand1	-1	513463	513804	342
rand1	-3	400178	400519	342
rand1	-3	651536	651874	339
rand1	+1	277801	278139	339
rand1	+3	133026	133364	339
rand1	-3	680810	681145	336
rand1	-3	642836	643171	336
rand1	-1	467332	467667	336
rand1	+3	338877	339212	336
rand1	+2	264104	264439	336
rand1	+1	746017	746349	333
rand1	+1	85213	85545	333
rand1	+2	429410	429739	330
rand1	+1	339997	340326	330
rand1	+3	206154	206483	330
rand1	-3	470090	470416	327
rand1	+2	456515	456841	327
rand1	+2	256853	257179	327
rand1	+2	213053	213379	327
rand1	-3	194159	194485	327
rand1	-1	571132	571455	324
rand1	-2	343470	343793	324
rand1	+3	265722	266045	324
rand1	+2	116714	117037	324
rand1	+3	349257	349577	321
rand1	+1	313648	313968	321
rand1	-3	42728	43048	321
rand1	-3	433280	433597	318
rand1	-1	402382	402699	318
rand1	+2	585167	585481	315
rand1	-2	522153	522467	315
rand1	-1	642409	642720	312
rand1	+1	641347	641658	312
rand1	+3	622458	622769	312
rand1	-1	355204	355515	312
rand1	-3	180920	181231	312
rand1	-2	129264	129575	312
rand1	-2	88590	88901	312
rand1	+3	7608	7919	312
rand1	+3	715284	715592	309
rand1	+2	510320	510628	309
rand1	-2	415743	416051	309
rand1	-3	277973	278281	309
rand1	+1	210142	210450	309
rand1	+3	605619	605924	306
rand1	+2	603122	603427	306
rand1	+1	551071	551376	306
rand1	+3	417171	417476	306
rand1	-2	196395	196700	306
rand1	+2	12527	12832	306
rand1	-1	711382	711684	303
rand1	-3	646349	646651	303
rand1	+1	282538	282840	303
rand1	-3	684992	685291	300
rand1	+3	599925	600224	300
rand1	+2	588293	588592	300
rand1	-2	475818	476117	300
rand1	-3	467723	468022	300
rand1	-3	431081	431380	300
rand1	+2	377414	377713	300
rand1	-2	266937	267236	300
rand1	+2	264659	264958	300
rand1	+2	186017	186316	300
rand1	+1	179989	180288	300
rand1	-1	39886	40185	300
rand2	-1	463645	464199	555
rand2	+2	560756	561307	552
rand2	+1	741577	742122	546
rand2	+3	504426	504929	504
rand2	-2	740433	740924	492
rand2	-1	103288	103773	486
rand2	-1	570556	571038	483
rand2	-1	428740	429207	468
rand2	+1	706636	707094	459
rand2	-1	93574	94023	450
rand2	-2	222912	223346	435
rand2	+3	414900	415325	426
rand2	+2	424361	424780	420
rand2	+2	159650	160063	414
rand2	+1	698371	698778	408
rand2	-3	315554	315958	405
rand2	+3	295656	296060	405
rand2	-2	363957	364358	402
rand2	+3	705405	705803	399
rand2	-1	482155	482544	390
rand2	-2	206835	207224	390
rand2	-3	646979	647365	387
rand2	-1	171439	171819	381
rand2	+3	46572	46952	381
rand2	+2	694802	695179	378
rand2	-3	638594	638968	375
rand2	-3	394322	394693	372
rand2	-1	119866	120234	369
rand2	-2	719376	719741	366
rand2	+3	522255	522620	366
rand2	-3	210296	210658	363
rand2	-3	739652	740011	360
rand2	-1	644911	645264	354
rand2	-2	559794	560147	354
rand2	-3	571676	572026	351
rand2	-3	524324	524674	351
rand2	+3	592689	593033	345
rand2	-2	587148	587492	345
rand2	-1	195601	195945	345
rand2	+2	350339	350680	342
rand2	+2	301805	302146	342
rand2	+1	133951	134292	342
rand2	-3	103859	104200	342
rand2	+1	747955	748293	339
rand2	+3	544572	544910	339
rand2	+2	316991	317329	339
rand2	+1	259546	259884	339
rand2	+1	39445	39783	339
rand2	+2	5210	5545	336
rand2	-1	476059	476391	333
rand2	+3	147783	148115	333
rand2	-2	45015	45347	333
rand2	+1	245689	246018	330
rand2	+3	79128	79457	330
rand2	-3	59522	59851	330
rand2	-3	490541	490867	327
rand2	-3	236906	237232	327
rand2	-2	589755	590078	324
rand2	+2	497003	497326	324
rand2	+2	176819	177139	321
rand2	+2	127172	127492	321
rand2	-3	78650	78970	321
rand2	-2	378027	378344	318
rand2	-3	662732	663046	315
rand2	-2	449967	450281	315
rand2	+3	446463	446777	315
rand2	+2	231539	231853	315
rand2	-3	208277	208591	315
rand2	+2	179600	179914	315
rand2	-2	546171	546482	312
rand2	-3	409196	409507	312
rand2	+1	171577	171888	312
rand2	+1	454195	454503	309
rand2	+3	394524	394832	309
rand2	-1	313552	313860	309
rand2	+2	55691	55999	309
rand2	-3	680840	681145	306
rand2	-1	517228	517533	306
rand2	-2	509766	510071	306
rand2	-3	704207	704509	303
rand2	+1	598297	598599	303
rand2	-3	535541	535843	303
rand2	-2	521643	521945	303
rand2	+2	520862	521164	303
rand2	-2	327111	327413	303
rand2	-3	278219	278521	303
rand2	-1	171820	172122	303
rand2	+3	143100	143402	303
rand2	+3	78528	78830	303
rand2	+2	377495	377794	300
rand2	+2	365861	366160	300
rand3	+3	353409	353951	543
rand3	-3	122741	123265	525
rand3	+2	44027	44542	516
rand3	+2	639968	640444	477
rand3	+3	111681	112154	474
rand3	-1	449902	450372	471
rand3	+2	745097	745549	453
rand3	-1	683485	683934	450
rand3	+1	413710	414159	450
rand3	-3	21404	21844	441
rand3	+1	246670	247098	429
rand3	-3	604256	604678	423
rand3	+3	552630	553046	417
rand3	-1	427027	427431	405
rand3	+3	374694	375098	405
rand3	-1	22120	22518	399
rand3	+1	478153	478548	396
rand3	-2	191598	191990	393
rand3	+1	212398	212784	387
rand3	+1	135862	136239	378
rand3	+1	132451	132828	378
rand3	+1	110386	110763	378
rand3	+1	597109	597483	375
rand3	+1	375247	375621	375
rand3	+3	334806	335174	369
rand3	+1	27760	28128	369
rand3	-3	40691	41056	366
rand3	-3	92489	92848	360
rand3	+2	314078	314434	357
rand3	-1	133597	133953	357
rand3	-1	78262	78618	357
rand3	+1	350476	350829	354
rand3	+3	21420	21773	354
rand3	+1	582847	583197	351
rand3	-2	546297	546647	351
rand3	+1	517627	517977	351
rand3	+1	616489	616836	348
rand3	-3	182030	182377	348
rand3	-3	535757	536101	345
rand3	-1	269695	270039	345
rand3	-3	641759	642100	342
rand3	-1	420271	420612	342
rand3	-1	648670	649008	339
rand3	-2	348027	348365	339
rand3	+3	333168	333506	339
rand3	-2	555339	555674	336
rand3	-2	90165	90500	336
rand3	+2	670733	671065	333
rand3	-1	460552	460884	333
rand3	-1	348280	348612	333
rand3	+1	732415	732744	330
rand3	-3	688814	689143	330
rand3	+1	479110	479439	330
rand3	-3	461432	461761	330
rand3	-1	397048	397377	330
rand3	+3	400899	401225	327
rand3	-1	708106	708429	324
rand3	+2	423968	424291	324
rand3	+2	349091	349414	324
rand3	-2	280533	280853	321
rand3	+1	113599	113919	321
rand3	-1	715345	715659	315
rand3	-2	708426	708740	315
rand3	-1	696433	696747	315
rand3	+2	648581	648895	315
rand3	+2	485870	486184	315
rand3	+1	431080	431394	315
rand3	+2	349577	349891	315
rand3	-2	266454	266768	315
rand3	-1	201397	201711	315
rand3	+1	81103	81417	315
rand3	+1	430750	431061	312
rand3	-1	206215	206526	312
rand3	+2	53414	53725	312
rand3	+2	1256	1567	312
rand3	+3	671298	671606	309
rand3	+1	300484	300792	309
rand3	-2	32643	32951	309
rand3	+3	9231	9539	309
rand3	-2	680559	680864	306
rand3	+2	553478	553783	306
rand3	+1	539284	539589	306
rand3	+1	166387	166692	306
rand3	+2	135587	135892	306
rand3	+1	13168	13473	306
rand3	+1	753568	753870	303
rand3	-3	471065	471367	303
rand3	-2	432909	433211	303
rand3	+1	220885	221187	303
rand3	-2	168783	169085	303
rand3	-2	375180	375479	300
rand3	-2	87939	88238	300
rand4	+2	567458	568027	570
rand4	+1	586747	587253	507
rand4	-2	756102	756551	450
rand4	-1	172489	172926	438
rand4	+3	413982	414410	429
rand4	-2	236211	236636	426
rand4	+2	561401	561805	405
rand4	-1	107374	107775	402
rand4	+3	329703	330098	396
rand4	+2	744101	744487	387
rand4	+3	139440	139823	384
rand4	-2	336489	336869	381
rand4	+3	431553	431927	375
rand4	+2	671063	671431	369
rand4	-1	261445	261810	366
rand4	-1	212413	212778	366
rand4	-1	665452	665814	363
rand4	+2	625352	625708	357
rand4	-1	431590	431946	357
rand4	-1	739084	739437	354
rand4	+2	343886	344239	354
rand4	+3	719754	720101	348
rand4	-3	433589	433933	345
rand4	-3	270566	270910	345
rand4	+2	100808	101152	345
rand4	+1	648442	648780	339
rand4	+3	132444	132782	339
rand4	-2	537621	537953	333
rand4	-2	477723	478055	333
rand4	-1	272479	272811	333
rand4	-3	640556	640882	327
rand4	-1	549067	549390	324
rand4	-3	668849	669169	321
rand4	+1	662080	662400	321
rand4	-2	66501	66821	321
rand4	+2	297506	297823	318
rand4	+1	425413	425727	315
rand4	+2	378944	379255	312
rand4	+1	200725	201036	312
rand4	+2	88913	89224	312
rand4	+1	712975	713283	309
rand4	-2	132558	132866	309
rand4	+1	40516	40824	309
rand4	+3	528135	528440	306
rand4	-2	345744	346049	306
rand4	+3	156759	157064	306
rand4	-2	6468	6773	306
rand4	+1	390424	390726	303
rand4	-1	283792	284094	303
rand4	+2	97433	97735	303
rand4	+2	662810	663109	300
rand4	+1	420823	421122	300
rand4	-1	412585	412884	300
rand4	-1	6826	7125	300
rand5	+1	222958	223527	570
rand5	+1	621949	622509	561
rand5	-2	74388	74948	561
rand5	-2	418482	419018	537
rand5	+1	151738	152235	498
rand5	+2	698420	698911	492
rand5	+2	56357	56830	474
rand5	+3	594546	595016	471
rand5	+1	720370	720834	465
rand5	+2	235190	235648	459
rand5	+3	743547	743981	435
rand5	+3	347559	347990	432
rand5	-3	347315	347746	432
rand5	+1	169246	169677	432
rand5	+2	618011	618433	423
rand5	-1	397183	397599	417
rand5	+3	641598	642011	414
rand5	-1	228439	228843	405
rand5	-3	182603	183007	405
rand5	-2	736980	737378	399
rand5	+1	87646	88035	390
rand5	-2	619656	620039	384
rand5	-3	460862	461245	384
rand5	+2	61703	62086	384
rand5	+2	458882	459259	378
rand5	+1	455623	455991	369
rand5	-2	132966	133334	369
rand5	+1	561553	561915	363
rand5	+1	164434	164796	363
rand5	+2	616625	616984	360
rand5	+2	333335	333694	360
rand5	-1	308686	309045	360
rand5	+3	563376	563729	354
rand5	-2	325278	325631	354
rand5	-1	609436	609786	351
rand5	+1	100354	100704	351
rand5	-1	31945	32292	348
rand5	-3	365591	365935	345
rand5	+2	484727	485068	342
rand5	-1	164545	164886	342
rand5	-1	65275	65616	342
rand5	-2	747738	748076	339
rand5	-3	370721	371056	336
rand5	-2	168096	168431	336
rand5	+3	48183	48518	336
rand5	-2	36864	37199	336
rand5	-2	720150	720482	333
rand5	+1	608314	608643	330
rand5	-3	277607	277936	330
rand5	+2	221039	221368	330
rand5	-2	677523	677849	327
rand5	+1	389482	389808	327
rand5	-3	353201	353527	327
rand5	-3	757094	757417	324
rand5	-2	659934	660257	324
rand5	-3	579503	579823	321
rand5	+3	287601	287921	321
rand5	+1	733546	733863	318
rand5	-1	571267	571584	318
rand5	+3	182664	182981	318
rand5	-3	51140	51457	318
rand5	+1	728428	728742	315
rand5	-1	246346	246660	315
rand5	+3	202548	202862	315
rand5	+2	33137	33451	315
rand5	-2	30501	30815	315
rand5	-1	390889	391200	312
rand5	-3	717218	717526	309
rand5	-3	40028	40336	309
rand5	+1	734227	734532	306
rand5	+1	549715	550020	306
rand5	-2	520686	520991	306
rand5	+2	237578	237883	306
rand5	-1	559063	559365	303
rand5	-1	214228	214530	303
rand5	+3	731028	731327	300
rand5	-1	570751	571050	300
rand5	-1	519148	519447	300
rand5	+1	322570	322869	300
rand5	-1	282403	282702	300
rand5	+1	189853	190152	300
rand5	+1	113821	114120	300
rand6	-2	717867	718457	591
rand6	+2	711749	712267	519
rand6	+1	653476	653973	498
rand6	+2	327806	328288	483
rand6	+3	638913	639374	462
rand6	-3	520265	520705	441
rand6	-3	53594	54028	435
rand6	-1	665314	665718	405
rand6	-2	744003	744404	402
rand6	-2	249117	249509	393
rand6	-1	515191	515580	390
rand6	-3	335843	336223	381
rand6	+3	199668	200045	378
rand6	-3	66212	66589	378
rand6	+2	750650	751021	372
rand6	-2	446418	446789	372
rand6	-1	282298	282669	372
rand6	-1	247030	247401	372
rand6	+1	572524	572892	369
rand6	-3	608894	609256	363
rand6	+3	39897	40259	363
rand6	+1	701299	701658	360
rand6	+1	444193	444552	360
rand6	+2	270212	270571	360
rand6	+1	243205	243564	360
rand6	-1	166390	166749	360
rand6	-2	486171	486527	357
rand6	-2	177843	178199	357
rand6	-2	65325	65681	357
rand6	+3	468870	469217	348
rand6	+3	467928	468275	348
rand6	-2	110220	110567	348
rand6	+1	82084	82431	348
rand6	+2	317840	318184	345
rand6	-1	608998	609339	342
rand6	-1	758305	758643	339
rand6	-3	581246	581584	339
rand6	+3	649905	650240	336
rand6	+2	307670	308005	336
rand6	+2	115232	115567	336
rand6	-3	595121	595453	333
rand6	+1	686572	686898	327
rand6	-2	593841	594167	327
rand6	-3	367376	367702	327
rand6	-1	454327	454650	324
rand6	+2	376994	377317	324
rand6	+1	374662	374985	324
rand6	+3	745422	745742	321
rand6	-3	223763	224083	321
rand6	+1	72274	72594	321
rand6	+2	323705	324022	318
rand6	+3	48576	48893	318
rand6	-1	297433	297747	315
rand6	-2	23685	23999	315
rand6	-1	496573	496884	312
rand6	+1	246814	247125	312
rand6	+1	566098	566406	309
rand6	+3	374808	375116	309
rand6	-3	696587	696892	306
rand6	+1	528673	528978	306
rand6	-1	501118	501423	306
rand6	-1	204403	204708	306
rand6	+3	194301	194606	306
rand6	-2	733707	734009	303
rand6	+2	624629	624931	303
rand6	-1	481120	481422	303
rand6	+3	688833	689132	300
rand6	+1	627691	627990	300
rand6	+2	472370	472669	300
rand6	-1	217078	217377	300
rand7	+3	470982	471695	714
rand7	-2	313026	313589	564
rand7	-2	159453	160007	555
rand7	+1	327925	328428	504
rand7	-2	590859	591329	471
rand7	+2	179828	180295	468
rand7	-3	327908	328366	459
rand7	+2	232259	232717	459
rand7	-2	62223	62675	453
rand7	-3	505943	506368	426
rand7	-3	426824	427246	423
rand7	-3	472016	472432	417
rand7	-3	226496	226912	417
rand7	+2	374192	374602	411
rand7	+2	124016	124426	411
rand7	+2	445628	446032	405
rand7	+1	117802	118206	405
rand7	+3	440685	441083	399
rand7	+1	5548	5946	399
rand7	-1	619810	620205	396
rand7	-2	524610	525005	396
rand7	+3	507978	508373	396
rand7	+2	703649	704041	393
rand7	-3	32996	33379	384
rand7	-1	691036	691413	378
rand7	+1	689809	690186	378
rand7	-2	537867	538244	378
rand7	+3	336618	336992	375
rand7	-2	75885	76259	375
rand7	-1	48529	48900	372
rand7	-1	628219	628587	369
rand7	-2	186561	186929	369
rand7	-3	611456	611821	366
rand7	-1	230575	230940	366
rand7	-1	56752	57117	366
rand7	+1	348613	348975	363
rand7	-2	756033	756386	354
rand7	-3	34319	34672	354
rand7	+1	446221	446568	348
rand7	+3	282840	283187	348
