orf_id	gene	length
Q0010	Q0010	387
Q0017	Q0017	162
Q0032	Q0032	291
Q0045	COX1	12884
Q0050	AI1	2505
Q0055	AI2	5013
Q0060	AI3	6179
Q0065	AI4	8118
Q0070	AI5_ALPHA	9350
Q0075	AI5_BETA	1100
Q0080	AAP1	147
Q0085	ATP6	780
Q0092	Q0092	141
Q0105	COB	7108
Q0110	BI2	2040
Q0115	BI3	3726
Q0120	BI4	5712
Q0130	OLI1	231
Q0140	VAR1	1197
Q0142	Q0142	177
Q0143	Q0143	153
Q0144	Q0144	330
Q0160	SCEI	708
Q0182	Q0182	405
Q0250	COX2	756
Q0255	Q0255	1490
Q0275	COX3	810
Q0297	Q0297	156
YAL001C	TFC3	3573
YAL002W	VPS8	3531
YAL003W	EFB1	987
YAL004W	YAL004W	648
YAL005C	SSA1	1929
YAL007C	ERP2	648
YAL008W	FUN14	597
YAL009W	SPO7	780
YAL010C	MDM10	1482
YAL011W	YAL011W	1917
YAL012W	CYS3	1185
YAL013W	DEP1	1089
YAL014C	YAL014C	618
YAL015C	NTG1	1200
YAL016W	TPD3	1908
YAL017W	FUN31	4071
YAL018C	YAL018C	978
YAL019W	FUN30	3396
YAL020C	ATS1	1002
YAL021C	CCR4	2514
YAL022C	FUN26	1554
YAL023C	PMT2	2277
YAL024C	LTE1	4308
YAL025C	MAK16	921
YAL026C	DRS2	4068
YAL027W	YAL027W	786
YAL028W	YAL028W	1587
YAL029C	MYO4	4416
YAL030W	SNC1	467
YAL031C	FUN21	2283
YAL032C	PRP45	1140
YAL033W	POP5	522
YAL034C	FUN19	1392
YAL034W-A	MTW1	870
YAL035C-A	YAL035C-A	354
YAL035W	FUN12	3009
YAL036C	FUN11	1110
YAL037W	YAL037W	804
YAL038W	CDC19	1503
YAL039C	CYC3	810
YAL040C	CLN3	1743
YAL041W	CDC24	2565
YAL042W	ERV46	1248
YAL043C	PTA1	2358
YAL043C-A	YAL043C-A	378
YAL044C	GCV3	534
YAL045C	YAL045C	309
YAL046C	YAL046C	357
YAL047C	SPC72	1869
YAL048C	YAL048C	1989
YAL049C	YAL049C	741
YAL051W	OAF1	3189
YAL053W	YAL053W	2352
YAL054C	ACS1	2142
YAL055W	PEX22	543
YAL056W	GPE2	2544
YAL058C-A	YAL058C-A	351
YAL058W	CNE1	1509
YAL059W	ECM1	639
YAL060W	YAL060W	1149
YAL061W	YAL061W	1254
YAL062W	GDH3	1374
YAL063C	FLO9	3969
YAL064C-A	YAL064C-A	381
YAL064W	YAL064W	327
YAL064W-B	YAL064W-B	381
YAL065C	YAL065C	387
YAL066W	YAL066W	309
YAL067C	SEO1	1782
YAL068C	YAL068C	363
YAL069W	YAL069W	315
YAR002C-A	ERP1	660
YAR002W	NUP60	1620
YAR003W	YAR003W	1281
YAR007C	RFA1	1866
YAR008W	SEN34	828
YAR009C	YAR009C	3591
YAR010C	YAR010C	1323
YAR014C	YAR014C	2109
YAR015W	ADE1	921
YAR018C	KIN3	1308
YAR019C	CDC15	2925
YAR020C	PAU7	168
YAR023C	YAR023C	540
YAR027W	YAR027W	708
YAR028W	YAR028W	705
YAR029W	YAR029W	225
YAR030C	YAR030C	342
YAR031W	PRM9	897
YAR033W	YAR033W	705
